Mach,Points_0,Points_1,Points_2,p_p0
0.474186,0,0,0.005,0.8633
0.474228,0.0015,0,0.005,0.863262
0.474271,0.003,0,0.005,0.863223
0.474313,0.0045,0,0.005,0.863185
0.474356,0.006,0,0.005,0.863146
0.474407,0.0075,0,0.005,0.863104
0.474472,0.009,0,0.005,0.863056
0.474537,0.0105,0,0.005,0.863008
0.474602,0.012,0,0.005,0.86296
0.474667,0.0135,0,0.005,0.862912
0.474715,0.015,0,0.005,0.862892
0.474757,0.0165,0,0.005,0.862879
0.4748,0.018,0,0.005,0.862866
0.474843,0.0195,0,0.005,0.862853
0.474885,0.021,0,0.005,0.862842
0.474928,0.0225,0,0.005,0.862838
0.47497,0.024,0,0.005,0.862834
0.475013,0.0255,0,0.005,0.86283
0.475056,0.027,0,0.005,0.862826
0.475103,0.0285,0,0.005,0.862825
0.475154,0.03,0,0.005,0.862825
0.475204,0.0315,0,0.005,0.862825
0.475254,0.033,0,0.005,0.862825
0.475306,0.0345,0,0.005,0.862825
0.475369,0.036,0,0.005,0.862826
0.475432,0.0375,0,0.005,0.862826
0.475495,0.039,0,0.005,0.862827
0.475558,0.0405,0,0.005,0.862828
0.47563,0.042,0,0.005,0.862827
0.475709,0.0435,0,0.005,0.862825
0.475788,0.045,0,0.005,0.862822
0.475867,0.0465,0,0.005,0.86282
0.475948,0.048,0,0.005,0.862817
0.476045,0.0495,0,0.005,0.862807
0.476143,0.051,0,0.005,0.862797
0.476241,0.0525,0,0.005,0.862787
0.476339,0.054,0,0.005,0.862777
0.476449,0.0555,0,0.005,0.862758
0.476566,0.057,0,0.005,0.862735
0.476683,0.0585,0,0.005,0.862711
0.4768,0.06,0,0.005,0.862688
0.476921,0.0615,0,0.005,0.862661
0.477057,0.063,0,0.005,0.862619
0.477193,0.0645,0,0.005,0.862577
0.477329,0.066,0,0.005,0.862536
0.477465,0.0675,0,0.005,0.862494
0.477615,0.069,0,0.005,0.862436
0.47777,0.0705,0,0.005,0.862372
0.477925,0.072,0,0.005,0.862308
0.47808,0.0735,0,0.005,0.862245
0.478242,0.075,0,0.005,0.862173
0.478417,0.0765,0,0.005,0.862085
0.478592,0.078,0,0.005,0.861997
0.478767,0.0795,0,0.005,0.861909
0.478942,0.081,0,0.005,0.861821
0.479138,0.0825,0,0.005,0.86171
0.479334,0.084,0,0.005,0.861597
0.479531,0.0855,0,0.005,0.861485
0.479727,0.087,0,0.005,0.861372
0.479937,0.0885,0,0.005,0.861246
0.480157,0.09,0,0.005,0.861109
0.480377,0.0915,0,0.005,0.860972
0.480597,0.093,0,0.005,0.860835
0.480823,0.0945,0,0.005,0.860693
0.481068,0.096,0,0.005,0.860533
0.481312,0.0975,0,0.005,0.860373
0.481557,0.099,0,0.005,0.860213
0.481802,0.1005,0,0.005,0.860053
0.48207,0.102,0,0.005,0.859874
0.482341,0.1035,0,0.005,0.859694
0.482612,0.105,0,0.005,0.859513
0.482883,0.1065,0,0.005,0.859332
0.483169,0.108,0,0.005,0.85914
0.483466,0.1095,0,0.005,0.85894
0.483763,0.111,0,0.005,0.85874
0.48406,0.1125,0,0.005,0.858541
0.484365,0.114,0,0.005,0.858336
0.484687,0.1155,0,0.005,0.858119
0.485008,0.117,0,0.005,0.857903
0.48533,0.1185,0,0.005,0.857686
0.485653,0.12,0,0.005,0.857469
0.485997,0.1215,0,0.005,0.857238
0.48634,0.123,0,0.005,0.857008
0.486684,0.1245,0,0.005,0.856777
0.487027,0.126,0,0.005,0.856547
0.487385,0.1275,0,0.005,0.856307
0.487747,0.129,0,0.005,0.856065
0.488108,0.1305,0,0.005,0.855823
0.48847,0.132,0,0.005,0.855581
0.48884,0.1335,0,0.005,0.855334
0.489216,0.135,0,0.005,0.855083
0.489592,0.1365,0,0.005,0.854831
0.489969,0.138,0,0.005,0.85458
0.490349,0.1395,0,0.005,0.854326
0.490736,0.141,0,0.005,0.854068
0.491123,0.1425,0,0.005,0.853811
0.49151,0.144,0,0.005,0.853553
0.491899,0.1455,0,0.005,0.853294
0.492294,0.147,0,0.005,0.853032
0.492689,0.1485,0,0.005,0.85277
0.493085,0.15,0,0.005,0.852508
0.49348,0.1515,0,0.005,0.852246
0.493883,0.153,0,0.005,0.851983
0.494286,0.1545,0,0.005,0.85172
0.494689,0.156,0,0.005,0.851456
0.495091,0.1575,0,0.005,0.851193
0.495501,0.159,0,0.005,0.85093
0.495911,0.1605,0,0.005,0.850667
0.496321,0.162,0,0.005,0.850404
0.496732,0.1635,0,0.005,0.850142
0.497148,0.165,0,0.005,0.849881
0.497567,0.1665,0,0.005,0.84962
0.497986,0.168,0,0.005,0.84936
0.498405,0.1695,0,0.005,0.8491
0.49883,0.171,0,0.005,0.848842
0.499259,0.1725,0,0.005,0.848585
0.499688,0.174,0,0.005,0.848329
0.500117,0.1755,0,0.005,0.848072
0.500552,0.177,0,0.005,0.847818
0.500992,0.1785,0,0.005,0.847565
0.501432,0.18,0,0.005,0.847313
0.501872,0.1815,0,0.005,0.847061
0.502317,0.183,0,0.005,0.84681
0.502769,0.1845,0,0.005,0.846562
0.503221,0.186,0,0.005,0.846314
0.503673,0.1875,0,0.005,0.846066
0.50413,0.189,0,0.005,0.84582
0.504594,0.1905,0,0.005,0.845576
0.505059,0.192,0,0.005,0.845333
0.505523,0.1935,0,0.005,0.845089
0.505991,0.195,0,0.005,0.844846
0.506467,0.1965,0,0.005,0.844605
0.506943,0.198,0,0.005,0.844364
0.507419,0.1995,0,0.005,0.844123
0.507898,0.201,0,0.005,0.843883
0.508385,0.2025,0,0.005,0.843644
0.508872,0.204,0,0.005,0.843405
0.509358,0.2055,0,0.005,0.843166
0.509848,0.207,0,0.005,0.842927
0.510345,0.2085,0,0.005,0.842687
0.510842,0.21,0,0.005,0.842448
0.511339,0.2115,0,0.005,0.842209
0.511839,0.213,0,0.005,0.841969
0.512345,0.2145,0,0.005,0.841727
0.512852,0.216,0,0.005,0.841486
0.513359,0.2175,0,0.005,0.841244
0.513869,0.219,0,0.005,0.841001
