J,Knudsen_droplet,N,Points_0,Points_1,Points_2,S_sat,Y,drdt,r_droplet_actual
0,0,0,0,0,0.005,1.82061,0,0,0
0,0,0,0.0015,0,0.005,1.82095,0,0,0
0,0,0,0.003,0,0.005,1.82129,0,0,0
0,0,0,0.0045,0,0.005,1.82163,0,0,0
0,0,0,0.006,0,0.005,1.82197,0,0,0
0,0,0,0.0075,0,0.005,1.82234,0,0,0
0,0,0,0.009,0,0.005,1.82277,0,0,0
0,0,0,0.0105,0,0.005,1.82319,0,0,0
0,0,0,0.012,0,0.005,1.82361,0,0,0
0,0,0,0.0135,0,0.005,1.82404,0,0,0
0,0,0,0.015,0,0.005,1.82422,0,0,0
0,0,0,0.0165,0,0.005,1.82433,0,0,0
0,0,0,0.018,0,0.005,1.82445,0,0,0
0,0,0,0.0195,0,0.005,1.82456,0,0,0
0,0,0,0.021,0,0.005,1.82466,0,0,0
0,0,0,0.0225,0,0.005,1.8247,0,0,0
0,0,0,0.024,0,0.005,1.82473,0,0,0
0,0,0,0.0255,0,0.005,1.82477,0,0,0
0,0,0,0.027,0,0.005,1.82481,0,0,0
0,0,0,0.0285,0,0.005,1.82482,0,0,0
0,0,0,0.03,0,0.005,1.82482,0,0,0
0,0,0,0.0315,0,0.005,1.82482,0,0,0
0,0,0,0.033,0,0.005,1.82482,0,0,0
0,0,0,0.0345,0,0.005,1.82481,0,0,0
0,0,0,0.036,0,0.005,1.82481,0,0,0
0,0,0,0.0375,0,0.005,1.8248,0,0,0
0,0,0,0.039,0,0.005,1.82479,0,0,0
0,0,0,0.0405,0,0.005,1.82478,0,0,0
0,0,0,0.042,0,0.005,1.82479,0,0,0
0,0,0,0.0435,0,0.005,1.82481,0,0,0
0,0,0,0.045,0,0.005,1.82483,0,0,0
0,0,0,0.0465,0,0.005,1.82485,0,0,0
0,0,0,0.048,0,0.005,1.82488,0,0,0
0,0,0,0.0495,0,0.005,1.82497,0,0,0
0,0,0,0.051,0,0.005,1.82506,0,0,0
0,0,0,0.0525,0,0.005,1.82515,0,0,0
0,0,0,0.054,0,0.005,1.82524,0,0,0
0,0,0,0.0555,0,0.005,1.82541,0,0,0
0,0,0,0.057,0,0.005,1.82562,0,0,0
0,0,0,0.0585,0,0.005,1.82583,0,0,0
0,0,0,0.06,0,0.005,1.82604,0,0,0
0,0,0,0.0615,0,0.005,1.82627,0,0,0
0,0,0,0.063,0,0.005,1.82665,0,0,0
0,0,0,0.0645,0,0.005,1.82702,0,0,0
0,0,0,0.066,0,0.005,1.82739,0,0,0
0,0,0,0.0675,0,0.005,1.82776,0,0,0
0,0,0,0.069,0,0.005,1.82828,0,0,0
0,0,0,0.0705,0,0.005,1.82885,0,0,0
0,0,0,0.072,0,0.005,1.82941,0,0,0
0,0,0,0.0735,0,0.005,1.82998,0,0,0
0,0,0,0.075,0,0.005,1.83062,0,0,0
0,0,0,0.0765,0,0.005,1.83141,0,0,0
